id,status,object_point_count,part_point_count,part_ratio,cache_path,object_points_path,part_points_path,total_sec,error
0,success,4096,0,0.0,/data/coding/SoFar/output/stage4_spatialbench_point_cache/0/point_data_cache.json,/data/coding/SoFar/output/stage4_spatialbench_point_cache/0/object_points.npz,/data/coding/SoFar/output/stage4_spatialbench_point_cache/0/part_points.npz,1.95,
1,success,4096,72,0.0176,/data/coding/SoFar/output/stage4_spatialbench_point_cache/1/point_data_cache.json,/data/coding/SoFar/output/stage4_spatialbench_point_cache/1/object_points.npz,/data/coding/SoFar/output/stage4_spatialbench_point_cache/1/part_points.npz,1.14,
2,success,4096,527,0.1287,/data/coding/SoFar/output/stage4_spatialbench_point_cache/2/point_data_cache.json,/data/coding/SoFar/output/stage4_spatialbench_point_cache/2/object_points.npz,/data/coding/SoFar/output/stage4_spatialbench_point_cache/2/part_points.npz,0.95,
3,success,4096,0,0.0,/data/coding/SoFar/output/stage4_spatialbench_point_cache/3/point_data_cache.json,/data/coding/SoFar/output/stage4_spatialbench_point_cache/3/object_points.npz,/data/coding/SoFar/output/stage4_spatialbench_point_cache/3/part_points.npz,0.63,
4,success,715,641,0.8965,/data/coding/SoFar/output/stage4_spatialbench_point_cache/4/point_data_cache.json,/data/coding/SoFar/output/stage4_spatialbench_point_cache/4/object_points.npz,/data/coding/SoFar/output/stage4_spatialbench_point_cache/4/part_points.npz,0.52,
5,success,4096,4096,1.0,/data/coding/SoFar/output/stage4_spatialbench_point_cache/5/point_data_cache.json,/data/coding/SoFar/output/stage4_spatialbench_point_cache/5/object_points.npz,/data/coding/SoFar/output/stage4_spatialbench_point_cache/5/part_points.npz,0.97,
6,success,4096,0,0.0,/data/coding/SoFar/output/stage4_spatialbench_point_cache/6/point_data_cache.json,/data/coding/SoFar/output/stage4_spatialbench_point_cache/6/object_points.npz,/data/coding/SoFar/output/stage4_spatialbench_point_cache/6/part_points.npz,0.63,
7,success,4096,4096,1.0,/data/coding/SoFar/output/stage4_spatialbench_point_cache/7/point_data_cache.json,/data/coding/SoFar/output/stage4_spatialbench_point_cache/7/object_points.npz,/data/coding/SoFar/output/stage4_spatialbench_point_cache/7/part_points.npz,0.81,
8,success,4096,4096,1.0,/data/coding/SoFar/output/stage4_spatialbench_point_cache/8/point_data_cache.json,/data/coding/SoFar/output/stage4_spatialbench_point_cache/8/object_points.npz,/data/coding/SoFar/output/stage4_spatialbench_point_cache/8/part_points.npz,0.71,
9,success,4096,4096,1.0,/data/coding/SoFar/output/stage4_spatialbench_point_cache/9/point_data_cache.json,/data/coding/SoFar/output/stage4_spatialbench_point_cache/9/object_points.npz,/data/coding/SoFar/output/stage4_spatialbench_point_cache/9/part_points.npz,0.69,
